iter	Passed	Remaining
0	12	9664
1	24	9644
2	36	9632
3	57	11508
4	73	11651
5	86	11464
6	99	11238
7	110	10961
8	118	10423
9	134	10597
10	146	10486
11	157	10336
12	165	10043
13	179	10079
14	191	10044
15	203	9969
16	212	9802
17	227	9876
18	240	9887
19	250	9753
20	258	9582
21	267	9447
22	276	9335
23	285	9224
24	293	9105
25	302	9015
26	310	8880
27	319	8816
28	330	8785
29	340	8738
30	350	8702
31	360	8658
32	370	8610
33	379	8550
34	388	8497
35	396	8417
36	405	8370
37	416	8355
38	429	8381
39	444	8437
40	454	8422
41	464	8380
42	474	8359
43	484	8328
44	492	8269
45	502	8233
46	513	8234
47	525	8225
48	534	8192
49	543	8159
50	552	8114
51	562	8091
52	571	8059
53	584	8072
54	594	8053
55	604	8029
56	615	8016
57	623	7978
58	635	7978
59	644	7951
60	653	7919
61	663	7897
62	673	7881
63	682	7848
64	691	7824
65	701	7796
66	710	7774
67	720	7754
68	730	7736
69	740	7721
70	750	7705
71	759	7682
72	769	7663
73	780	7655
74	790	7642
75	800	7623
76	811	7615
77	820	7593
78	830	7579
79	841	7572
80	857	7614
81	868	7604
82	878	7590
83	895	7636
84	908	7644
85	919	7638
86	931	7634
87	942	7626
88	951	7605
89	961	7586
90	970	7563
91	980	7543
92	991	7534
93	998	7502
94	1006	7469
95	1014	7439
96	1022	7408
97	1029	7377
98	1036	7336
99	1043	7305
100	1049	7263
101	1057	7235
102	1064	7206
103	1071	7168
104	1078	7141
105	1086	7115
106	1092	7078
107	1103	7072
108	1114	7067
109	1125	7060
110	1138	7065
111	1148	7053
112	1159	7047
113	1168	7034
114	1179	7023
115	1188	7010
116	1196	6986
117	1205	6969
118	1215	6953
119	1222	6929
120	1231	6911
121	1246	6928
122	1257	6918
123	1267	6908
124	1277	6898
125	1287	6884
126	1297	6874
127	1310	6879
128	1322	6878
129	1337	6893
130	1350	6898
131	1361	6888
132	1372	6880
133	1382	6872
134	1391	6853
135	1399	6833
136	1409	6822
137	1418	6806
138	1427	6789
139	1438	6783
140	1448	6770
141	1457	6753
142	1466	6738
143	1478	6735
144	1485	6708
145	1491	6682
146	1499	6661
147	1506	6638
148	1514	6618
149	1521	6591
150	1528	6569
151	1535	6545
152	1543	6525
153	1549	6500
154	1556	6476
155	1563	6454
156	1570	6432
157	1578	6412
158	1584	6388
159	1592	6368
160	1599	6347
161	1606	6327
162	1613	6304
163	1619	6279
164	1627	6264
165	1636	6251
166	1643	6229
167	1650	6209
168	1657	6189
169	1665	6172
170	1671	6149
171	1683	6145
172	1690	6126
173	1697	6108
174	1706	6093
175	1713	6074
176	1719	6053
177	1726	6033
178	1733	6014
179	1740	5995
180	1747	5975
181	1755	5960
182	1763	5945
183	1770	5928
184	1778	5913
185	1785	5894
186	1793	5879
187	1800	5862
188	1808	5846
189	1815	5830
190	1823	5814
191	1831	5798
192	1838	5783
193	1845	5765
194	1853	5750
195	1861	5737
196	1869	5722
197	1877	5707
198	1885	5693
199	1892	5676
200	1899	5661
201	1904	5638
202	1912	5623
203	1920	5609
204	1928	5595
205	1935	5581
206	1943	5568
207	1952	5556
208	1959	5541
209	1966	5524
210	1973	5509
211	1980	5493
212	1988	5479
213	1995	5465
214	2004	5454
215	2012	5442
216	2023	5437
217	2031	5422
218	2039	5409
219	2045	5393
220	2053	5380
221	2060	5365
222	2068	5353
223	2076	5338
224	2082	5323
225	2090	5308
226	2096	5293
227	2104	5279
228	2111	5265
229	2119	5251
230	2126	5238
231	2133	5223
232	2141	5211
233	2148	5197
234	2157	5186
235	2165	5174
236	2172	5161
237	2179	5147
238	2187	5134
239	2194	5120
240	2201	5105
241	2209	5093
242	2215	5079
243	2223	5067
244	2231	5054
245	2238	5040
246	2244	5025
247	2251	5011
248	2258	4998
249	2265	4985
250	2273	4973
251	2279	4958
252	2287	4946
253	2294	4931
254	2300	4917
255	2307	4903
256	2314	4889
257	2321	4876
258	2327	4862
259	2334	4848
260	2340	4833
261	2347	4820
262	2355	4809
263	2362	4797
264	2369	4784
265	2376	4771
266	2383	4757
267	2389	4743
268	2396	4731
269	2406	4723
270	2414	4713
271	2422	4703
272	2430	4691
273	2436	4678
274	2443	4665
275	2451	4653
276	2458	4642
277	2465	4629
278	2473	4618
279	2480	4606
280	2487	4594
281	2495	4583
282	2502	4571
283	2509	4559
284	2516	4547
285	2524	4536
286	2531	4524
287	2538	4513
288	2547	4504
289	2553	4491
290	2560	4478
291	2568	4468
292	2575	4456
293	2582	4445
294	2589	4433
295	2601	4428
296	2607	4416
297	2614	4404
298	2622	4394
299	2630	4383
300	2636	4370
301	2643	4359
302	2650	4347
303	2657	4336
304	2665	4325
305	2672	4313
306	2679	4302
307	2686	4291
308	2694	4281
309	2701	4270
310	2708	4258
311	2714	4245
312	2721	4233
313	2728	4222
314	2735	4212
315	2742	4201
316	2748	4188
317	2755	4176
318	2763	4166
319	2770	4155
320	2777	4144
321	2784	4133
322	2794	4126
323	2803	4119
324	2811	4108
325	2818	4097
326	2826	4087
327	2833	4077
328	2840	4066
329	2851	4061
330	2858	4050
331	2866	4040
332	2873	4029
333	2881	4019
334	2887	4008
335	2893	3996
336	2901	3985
337	2908	3975
338	2916	3966
339	2924	3956
340	2931	3945
341	2938	3935
342	2944	3923
343	2952	3913
344	2959	3902
345	2966	3892
346	2974	3882
347	2981	3872
348	2988	3861
349	2995	3851
350	3002	3840
351	3009	3829
352	3015	3818
353	3022	3808
354	3030	3798
355	3037	3787
356	3045	3778
357	3052	3768
358	3059	3758
359	3067	3748
360	3074	3738
361	3079	3725
362	3085	3715
363	3093	3705
364	3101	3696
365	3108	3686
366	3116	3676
367	3123	3666
368	3131	3657
369	3137	3646
370	3145	3636
371	3152	3627
372	3160	3617
373	3166	3606
374	3172	3595
375	3179	3585
376	3190	3579
377	3196	3568
378	3203	3558
379	3209	3547
380	3215	3536
381	3222	3526
382	3229	3516
383	3236	3506
384	3240	3492
385	3247	3483
386	3255	3473
387	3261	3463
388	3268	3453
389	3275	3443
390	3282	3433
391	3289	3423
